Instantiated DTM.
Cyc=        23 Op1=[0x00000000] Op2=[0x00000000] W[W, 0= 0x00000000] [_,0x30405073]   18     PC=(0x80000098,0x80000094,0x80000090) [13,115,115], WB: DASM(30305073)
Cyc=        24 Op1=[0x00000000] Op2=[0x00000000] W[W, 0= 0x00000000] [_,0x00000193]   19     PC=(0x8000009c,0x80000098,0x80000094) [17, 19,115], WB: DASM(30405073)
Cyc=        25 Op1=[0x00000000] Op2=[0x8000009c] W[W, 3= 0x00000000] [_,0x00000297]   20     PC=(0x800000a0,0x8000009c,0x80000098) [13, 23, 19], WB: DASM(00000193)
Cyc=        26 Op1=[0x8000009c] Op2=[0xffffff68] W[W, 5= 0x8000009c] [_,0xf6828293]   21     PC=(0x800000a4,0x800000a0,0x8000009c) [73, 19, 23], WB: DASM(00000297)
Cyc=        27 Op1=[0x80000004] Op2=[0x80000004] W[W, 5= 0x80000004] [_,0x30529073]   22     PC=(0x800000a8,0x800000a4,0x800000a0) [13,115, 19], WB: DASM(f6828293)
Cyc=        28 Op1=[0x00000000] Op2=[0x00000001] W[W, 0= 0x00000100] [_,0x00100513]   23     PC=(0x800000ac,0x800000a8,0x800000a4) [13, 19,115], WB: DASM(30529073)
Cyc=        29 Op1=[0x00000001] Op2=[0x0000001f] W[W,10= 0x00000001] [_,0x01f51513]   24     PC=(0x800000b0,0x800000ac,0x800000a8) [63, 19, 19], WB: DASM(00100513)
Cyc=        30 Op1=[0x80000000] Op2=[0x00000000] W[W,10= 0x80000000] [_,0x00054863]   25   B PC=(0x800000b4,0x800000b0,0x800000ac) [0f, 99, 19], WB: DASM(01f51513)
Cyc=        31 Op1=[0x00000000] Op2=[0x00000000] W[_,16= 0x80000000] [_,0x0ff0000f]   26     PC=(0x800000c0,0x800000b4,0x800000b0) [17, 51, 99], WB: DASM(00054863)
Cyc=        32 Op1=[0x80000000] Op2=[0x800000c0] W[_, 0= 0x00000000] [_,0x80000297]   27     PC=(0x800000c4,0x800000c0,0x800000b4) [13, 23, 51], WB: DASM(00004033)
Cyc=        33 Op1=[0x000000c0] Op2=[0xffffff40] W[W, 5= 0x000000c0] [_,0xf4028293]   27     PC=(0x800000c8,0x800000c4,0x800000c0) [63, 19, 23], WB: DASM(80000297)
Cyc=        34 Op1=[0x00000000] Op2=[0x00000000] W[W, 5= 0x00000000] [_,0x00028e63]   28   B PC=(0x800000cc,0x800000c8,0x800000c4) [73, 99, 19], WB: DASM(f4028293)
Cyc=        35 Op1=[0x00000000] Op2=[0x00000000] W[_,28= 0x00000000] [_,0x10529073]   29     PC=(0x800000e4,0x800000cc,0x800000c8) [73, 51, 99], WB: DASM(00028e63)
Cyc=        36 Op1=[0x00000000] Op2=[0x00000000] W[_, 0= 0x00000000] [_,0x30005073]   30     PC=(0x800000e8,0x800000e4,0x800000cc) [17,115, 51], WB: DASM(00004033)
Cyc=        37 Op1=[0x00000000] Op2=[0x800000e8] W[W, 0= 0x00001800] [_,0x00000297]   30     PC=(0x800000ec,0x800000e8,0x800000e4) [13, 23,115], WB: DASM(30005073)
Cyc=        38 Op1=[0x800000e8] Op2=[0x00000014] W[W, 5= 0x800000e8] [_,0x01428293]   31     PC=(0x800000f0,0x800000ec,0x800000e8) [73, 19, 23], WB: DASM(00000297)
Cyc=        39 Op1=[0x800000fc] Op2=[0x00000000] W[W, 5= 0x800000fc] [_,0x34129073]   32     PC=(0x800000f4,0x800000f0,0x800000ec) [73,115, 19], WB: DASM(01428293)
Cyc=        40 Op1=[0x00000000] Op2=[0x00000000] W[W, 0= 0x00000000] [_,0xf1402573]   33     PC=(0x800000f8,0x800000f4,0x800000f0) [73,115,115], WB: DASM(34129073)
Cyc=        41 Op1=[0x00000000] Op2=[0x00000000] W[W,10= 0x00000000] [_,0x30200073]   34     PC=(0x800000fc,0x800000f8,0x800000f4) [13,115,115], WB: DASM(f1402573)
Cyc=        42 Op1=[0x00000000] Op2=[0x00000000] W[_, 0= 0x00000000] [_,0x00000093]   35   X PC=(0x80000100,0x800000fc,0x800000f8) [13, 19,115], WB: DASM(30200073)
Cyc=        43 Op1=[0x00000000] Op2=[0x00000400] W[_, 1= 0x00000000] [_,0x4000df13]   36     PC=(0x800000fc,0x80000100,0x800000fc) [13, 51, 51], WB: DASM(00004033)
Cyc=        44 Op1=[0x00000000] Op2=[0x00000000] W[_,30= 0x00000000] [_,0x00000093]   37     PC=(0x80000100,0x800000fc,0x80000100) [13, 19, 51], WB: DASM(00004033)
Cyc=        45 Op1=[0x00000000] Op2=[0x00000400] W[W, 1= 0x00000000] [_,0x4000df13]   37     PC=(0x80000104,0x80000100,0x800000fc) [13, 19, 19], WB: DASM(00000093)
Cyc=        46 Op1=[0x00000000] Op2=[0x00000000] W[W,30= 0x00000000] [_,0x00000e93]   38     PC=(0x80000108,0x80000104,0x80000100) [13, 19, 19], WB: DASM(4000df13)
Cyc=        47 Op1=[0x00000000] Op2=[0x00000002] W[W,29= 0x00000000] [_,0x00200193]   39     PC=(0x8000010c,0x80000108,0x80000104) [63, 19, 19], WB: DASM(00000e93)
Cyc=        48 Op1=[0x00000000] Op2=[0x00000000] W[W, 3= 0x00000002] [_,0x2bdf1463]   40     PC=(0x80000110,0x8000010c,0x80000108) [37, 99, 19], WB: DASM(00200193)
Cyc=        49 Op1=[0x80000000] Op2=[0x00000000] W[_, 8= 0x00000000] [_,0x800000b7]   41     PC=(0x80000114,0x80000110,0x8000010c) [13, 55, 99], WB: DASM(2bdf1463)
Cyc=        50 Op1=[0x80000000] Op2=[0x00000401] W[W, 1= 0x80000000] [_,0x4010df13]   42     PC=(0x80000118,0x80000114,0x80000110) [37, 19, 55], WB: DASM(800000b7)
Cyc=        51 Op1=[0xc0000000] Op2=[0x00000000] W[W,30= 0xc0000000] [_,0xc0000eb7]   43     PC=(0x8000011c,0x80000118,0x80000114) [13, 55, 19], WB: DASM(4010df13)
Cyc=        52 Op1=[0x00000000] Op2=[0x00000003] W[W,29= 0xc0000000] [_,0x00300193]   44     PC=(0x80000120,0x8000011c,0x80000118) [63, 19, 55], WB: DASM(c0000eb7)
Cyc=        53 Op1=[0xc0000000] Op2=[0xc0000000] W[W, 3= 0x00000003] [_,0x29df1a63]   45     PC=(0x80000124,0x80000120,0x8000011c) [37, 99, 19], WB: DASM(00300193)
Cyc=        54 Op1=[0x80000000] Op2=[0x00000000] W[_,20= 0x80000000] [_,0x800000b7]   46     PC=(0x80000128,0x80000124,0x80000120) [13, 55, 99], WB: DASM(29df1a63)
Cyc=        55 Op1=[0x80000000] Op2=[0x00000407] W[W, 1= 0x80000000] [_,0x4070df13]   47     PC=(0x8000012c,0x80000128,0x80000124) [37, 19, 55], WB: DASM(800000b7)
Cyc=        56 Op1=[0xff000000] Op2=[0x00000000] W[W,30= 0xff000000] [_,0xff000eb7]   48     PC=(0x80000130,0x8000012c,0x80000128) [13, 55, 19], WB: DASM(4070df13)
Cyc=        57 Op1=[0x00000000] Op2=[0x00000004] W[W,29= 0xff000000] [_,0x00400193]   49     PC=(0x80000134,0x80000130,0x8000012c) [63, 19, 55], WB: DASM(ff000eb7)
Cyc=        58 Op1=[0xff000000] Op2=[0xff000000] W[W, 3= 0x00000004] [_,0x29df1063]   50     PC=(0x80000138,0x80000134,0x80000130) [37, 99, 19], WB: DASM(00400193)
Cyc=        59 Op1=[0x80000000] Op2=[0x00000000] W[_, 0= 0xfe000000] [_,0x800000b7]   51     PC=(0x8000013c,0x80000138,0x80000134) [13, 55, 99], WB: DASM(29df1063)
Cyc=        60 Op1=[0x80000000] Op2=[0x0000040e] W[W, 1= 0x80000000] [_,0x40e0df13]   52     PC=(0x80000140,0x8000013c,0x80000138) [37, 19, 55], WB: DASM(800000b7)
Cyc=        61 Op1=[0xfffe0000] Op2=[0x00000000] W[W,30= 0xfffe0000] [_,0xfffe0eb7]   53     PC=(0x80000144,0x80000140,0x8000013c) [13, 55, 19], WB: DASM(40e0df13)
Cyc=        62 Op1=[0x00000000] Op2=[0x00000005] W[W,29= 0xfffe0000] [_,0x00500193]   54     PC=(0x80000148,0x80000144,0x80000140) [63, 19, 55], WB: DASM(fffe0eb7)
Cyc=        63 Op1=[0xfffe0000] Op2=[0xfffe0000] W[W, 3= 0x00000005] [_,0x27df1663]   55     PC=(0x8000014c,0x80000148,0x80000144) [37, 99, 19], WB: DASM(00500193)
Cyc=        64 Op1=[0x80000000] Op2=[0x00000000] W[_,12= 0xfffc0000] [_,0x800000b7]   56     PC=(0x80000150,0x8000014c,0x80000148) [13, 55, 99], WB: DASM(27df1663)
Cyc=        65 Op1=[0x80000000] Op2=[0x00000001] W[W, 1= 0x80000000] [_,0x00108093]   57     PC=(0x80000154,0x80000150,0x8000014c) [13, 19, 55], WB: DASM(800000b7)
Cyc=        66 Op1=[0x80000001] Op2=[0x0000041f] W[W, 1= 0x80000001] [_,0x41f0df13]   58     PC=(0x80000158,0x80000154,0x80000150) [13, 19, 19], WB: DASM(00108093)
Cyc=        67 Op1=[0x00000000] Op2=[0xffffffff] W[W,30= 0xffffffff] [_,0xfff00e93]   59     PC=(0x8000015c,0x80000158,0x80000154) [13, 19, 19], WB: DASM(41f0df13)
Cyc=        68 Op1=[0x00000000] Op2=[0x00000006] W[W,29= 0xffffffff] [_,0x00600193]   60     PC=(0x80000160,0x8000015c,0x80000158) [63, 19, 19], WB: DASM(fff00e93)
Cyc=        69 Op1=[0xffffffff] Op2=[0xffffffff] W[W, 3= 0x00000006] [_,0x25df1a63]   61     PC=(0x80000164,0x80000160,0x8000015c) [37, 99, 19], WB: DASM(00600193)
