Instantiated DTM.
Cyc=        64 Op1=[0x80022a60] Op2=[0x0000008c] W[W,12= 0x00000000] [_,0x09312623]   59     PC=(0x800017f8,0x800017f4,0x800017f0) [23, 35, 19], WB: DASM(00040613)
Cyc=        65 Op1=[0x80022a60] Op2=[0x00000088] W[_,12= 0x80022aec] [_,0x09412423]   60     PC=(0x800017fc,0x800017f8,0x800017f4) [13, 35, 35], WB: DASM(09312623)
Cyc=        66 Op1=[0x00000000] Op2=[0x00000000] W[_, 8= 0x80022ae8] [_,0x00050993]   61     PC=(0x80001800,0x800017fc,0x800017f8) [13, 19, 35], WB: DASM(09412423)
Cyc=        67 Op1=[0x00000001] Op2=[0x00000000] W[W,19= 0x00000000] [_,0x00058a13]   62     PC=(0x80001804,0x80001800,0x800017fc) [13, 19, 19], WB: DASM(00050993)
Cyc=        68 Op1=[0x80002b00] Op2=[0x00000000] W[W,20= 0x00000001] [_,0x00020513]   63     PC=(0x80001808,0x80001804,0x80001800) [17, 19, 19], WB: DASM(00058a13)
Cyc=        69 Op1=[0x00001000] Op2=[0x80001808] W[W,10= 0x80002b00] [_,0x00001597]   64     PC=(0x8000180c,0x80001808,0x80001804) [13, 23, 19], WB: DASM(00020513)
Cyc=        70 Op1=[0x80002808] Op2=[0x000002f8] W[W,11= 0x80002808] [_,0x2f858593]   65     PC=(0x80001810,0x8000180c,0x80001808) [23, 19, 23], WB: DASM(00001597)
Cyc=        71 Op1=[0x80022a60] Op2=[0x0000009c] W[W,11= 0x80002b00] [_,0x08112e23]   66     PC=(0x80001814,0x80001810,0x8000180c) [23, 35, 19], WB: DASM(2f858593)
Cyc=        72 Op1=[0x80022a60] Op2=[0x00000090] W[_,28= 0x80022afc] [_,0x09212823]   67     PC=(0x80001818,0x80001814,0x80001810) [23, 35, 35], WB: DASM(08112e23)
Cyc=        73 Op1=[0x80022a60] Op2=[0x00000084] W[_,16= 0x80022af0] [_,0x09512223]   68     PC=(0x8000181c,0x80001818,0x80001814) [13, 35, 35], WB: DASM(09212823)
Cyc=        74 Op1=[0x80002b00] Op2=[0x00000000] W[_, 4= 0x80022ae4] [_,0x00020a93]   69     PC=(0x80001820,0x8000181c,0x80001818) [6f, 19, 35], WB: DASM(09512223)
Cyc=        75 Op1=[0x00000000] Op2=[0x00000000] W[W,21= 0x80002b00] [_,0xf01ff0ef]   70   J PC=(0x80001824,0x80001820,0x8000181c) [13,111, 19], WB: DASM(00020a93)
Cyc=        76 Op1=[0x80002b00] Op2=[0x00000044] W[W, 1= 0x80001824] [_,0x04420613]   71     PC=(0x80001720,0x80001824,0x80001820) [33, 51,111], WB: DASM(f01ff0ef)
Cyc=        77 Op1=[0x80002b00] Op2=[0x00000000] W[_,12= 0x80002b44] [_,0x00c5e7b3]   72     PC=(0x80001724,0x80001720,0x80001824) [33, 51, 51], WB: DASM(00004033)
Cyc=        78 Op1=[0x80002b00] Op2=[0x80002b00] W[W,15= 0x80002b00] [_,0x00f567b3]   72     PC=(0x80001728,0x80001724,0x80001720) [13, 51, 51], WB: DASM(00c5e7b3)
Cyc=        79 Op1=[0x80002b00] Op2=[0x00000003] W[W,15= 0x80002b00] [_,0x0037f793]   73     PC=(0x8000172c,0x80001728,0x80001724) [33, 19, 51], WB: DASM(00f567b3)
Cyc=        80 Op1=[0x80002b00] Op2=[0x00000000] W[W,15= 0x00000000] [_,0x00c506b3]   74     PC=(0x80001730,0x8000172c,0x80001728) [63, 51, 19], WB: DASM(0037f793)
Cyc=        81 Op1=[0x00000000] Op2=[0x00000000] W[W,13= 0x80002b00] [_,0x02078463]   75   B PC=(0x80001734,0x80001730,0x8000172c) [33, 99, 51], WB: DASM(00c506b3)
Cyc=        82 Op1=[0x80002b00] Op2=[0x00000000] W[_, 8= 0x00000000] [_,0x00c58633]   76     PC=(0x80001758,0x80001734,0x80001730) [63, 51, 99], WB: DASM(02078463)
Cyc=        83 Op1=[0x80002b00] Op2=[0x80002b00] W[_,12= 0x80002b00] [_,0xfed57ee3]   77   B PC=(0x8000175c,0x80001758,0x80001734) [13, 99, 51], WB: DASM(00004033)
Cyc=        84 Op1=[0x80002b00] Op2=[0x00000000] W[_,29= 0x00005600] [_,0x00050793]   77     PC=(0x80001754,0x8000175c,0x80001758) [67, 51, 99], WB: DASM(fed57ee3)
Cyc=        85 Op1=[0x80001824] Op2=[0x00000000] W[_,15= 0x80002b00] [_,0x00008067]   78   R PC=(0x80001758,0x80001754,0x8000175c) [63,103, 51], WB: DASM(00004033)
Cyc=        86 Op1=[0x80002b00] Op2=[0x80002b00] W[W, 0= 0x80001758] [_,0xfed57ee3]   78   B PC=(0x80001824,0x80001758,0x80001754) [13, 51,103], WB: DASM(00008067)
Cyc=        87 Op1=[0x80002b00] Op2=[0x00000044] W[_,29= 0x00005600] [_,0x04420613]   79     PC=(0x80001828,0x80001824,0x80001758) [33, 19, 51], WB: DASM(00004033)
Cyc=        88 Op1=[0x80002b44] Op2=[0x80002b00] W[W,12= 0x80002b44] [_,0x40960633]   79     PC=(0x8000182c,0x80001828,0x80001824) [13, 51, 19], WB: DASM(04420613)
Cyc=        89 Op1=[0x00000000] Op2=[0x00000000] W[W,12= 0x00000044] [_,0x00000593]   80     PC=(0x80001830,0x8000182c,0x80001828) [33, 19, 51], WB: DASM(40960633)
Cyc=        90 Op1=[0x80002b00] Op2=[0x00000000] W[W,11= 0x00000000] [_,0x008a8533]   81     PC=(0x80001834,0x80001830,0x8000182c) [6f, 51, 19], WB: DASM(00000593)
Cyc=        91 Op1=[0x00000000] Op2=[0x80002b00] W[W,10= 0x80002b00] [_,0xf49ff0ef]   82   J PC=(0x80001838,0x80001834,0x80001830) [13,111, 51], WB: DASM(008a8533)
Cyc=        92 Op1=[0x00000001] Op2=[0x00000000] W[W, 1= 0x80001838] [_,0x000a0593]   83     PC=(0x8000177c,0x80001838,0x80001834) [33, 51,111], WB: DASM(f49ff0ef)
Cyc=        93 Op1=[0x80002b00] Op2=[0x00000044] W[_,11= 0x00000001] [_,0x00c567b3]   84     PC=(0x80001780,0x8000177c,0x80001838) [13, 51, 51], WB: DASM(00004033)
Cyc=        94 Op1=[0x80002b44] Op2=[0x00000003] W[W,15= 0x80002b44] [_,0x0037f793]   84     PC=(0x80001784,0x80001780,0x8000177c) [33, 19, 51], WB: DASM(00c567b3)
Cyc=        95 Op1=[0x80002b00] Op2=[0x00000044] W[W,15= 0x00000000] [_,0x00c50633]   85     PC=(0x80001788,0x80001784,0x80001780) [63, 51, 19], WB: DASM(0037f793)
Cyc=        96 Op1=[0x00000000] Op2=[0x00000000] W[W,12= 0x80002b44] [_,0x02078063]   86   B PC=(0x8000178c,0x80001788,0x80001784) [13, 99, 51], WB: DASM(00c50633)
Cyc=        97 Op1=[0x00000000] Op2=[0x000000ff] W[_, 0= 0x00000000] [_,0x0ff5f593]   87     PC=(0x800017a8,0x8000178c,0x80001788) [13, 51, 99], WB: DASM(02078063)
Cyc=        98 Op1=[0x00000000] Op2=[0x000000ff] W[_,11= 0x00000000] [_,0x0ff5f593]   88     PC=(0x800017ac,0x800017a8,0x8000178c) [13, 19, 51], WB: DASM(00004033)
Cyc=        99 Op1=[0x00000000] Op2=[0x00000008] W[W,11= 0x00000000] [_,0x00859713]   88     PC=(0x800017b0,0x800017ac,0x800017a8) [33, 19, 19], WB: DASM(0ff5f593)
Cyc=       100 Op1=[0x00000000] Op2=[0x00000000] W[W,14= 0x00000000] [_,0x00e5e733]   89     PC=(0x800017b4,0x800017b0,0x800017ac) [13, 51, 19], WB: DASM(00859713)
Cyc=       101 Op1=[0x00000000] Op2=[0x00000010] W[W,14= 0x00000000] [_,0x01071793]   90     PC=(0x800017b8,0x800017b4,0x800017b0) [33, 19, 51], WB: DASM(00e5e733)
Cyc=       102 Op1=[0x00000000] Op2=[0x00000000] W[W,15= 0x00000000] [_,0x00f76733]   91     PC=(0x800017bc,0x800017b8,0x800017b4) [63, 51, 19], WB: DASM(01071793)
Cyc=       103 Op1=[0x80002b00] Op2=[0x80002b44] W[W,14= 0x00000000] [_,0xfec574e3]   92     PC=(0x800017c0,0x800017bc,0x800017b8) [13, 99, 51], WB: DASM(00f76733)
Cyc=       104 Op1=[0x80002b00] Op2=[0x00000000] W[_, 9= 0x00005644] [_,0x00050793]   93     PC=(0x800017c4,0x800017c0,0x800017bc) [13, 19, 99], WB: DASM(fec574e3)
Cyc=       105 Op1=[0x80002b00] Op2=[0x00000004] W[W,15= 0x80002b00] [_,0x00478793]   94     PC=(0x800017c8,0x800017c4,0x800017c0) [23, 19, 19], WB: DASM(00050793)
Cyc=       106 Op1=[0x80002b04] Op2=[0xfffffffc] W[W,15= 0x80002b04] [_,0xfee7ae23]   95     PC=(0x800017cc,0x800017c8,0x800017c4) [63, 35, 19], WB: DASM(00478793)
Cyc=       107 Op1=[0x80002b04] Op2=[0x80002b44] W[_,28= 0x80002b00] [_,0xfec7ece3]   96   B PC=(0x800017d0,0x800017cc,0x800017c8) [67, 99, 35], WB: DASM(fee7ae23)
Cyc=       108 Op1=[0x80001838] Op2=[0x00000000] W[_,25= 0x00005648] [_,0x00008067]   97   R PC=(0x800017c4,0x800017d0,0x800017cc) [13, 51, 99], WB: DASM(fec7ece3)
Cyc=       109 Op1=[0x80002b04] Op2=[0x00000004] W[_, 0= 0x800017c4] [_,0x00478793]   98     PC=(0x800017c8,0x800017c4,0x800017d0) [23, 19, 51], WB: DASM(00004033)
Cyc=       110 Op1=[0x80002b08] Op2=[0xfffffffc] W[W,15= 0x80002b08] [_,0xfee7ae23]   98     PC=(0x800017cc,0x800017c8,0x800017c4) [63, 35, 19], WB: DASM(00478793)
Cyc=       111 Op1=[0x80002b08] Op2=[0x80002b44] W[_,28= 0x80002b04] [_,0xfec7ece3]   99   B PC=(0x800017d0,0x800017cc,0x800017c8) [67, 99, 35], WB: DASM(fee7ae23)
Cyc=       112 Op1=[0x80001838] Op2=[0x00000000] W[_,25= 0x0000564c] [_,0x00008067]  100   R PC=(0x800017c4,0x800017d0,0x800017cc) [13, 51, 99], WB: DASM(fec7ece3)
Cyc=       113 Op1=[0x80002b08] Op2=[0x00000004] W[_, 0= 0x800017c4] [_,0x00478793]  101     PC=(0x800017c8,0x800017c4,0x800017d0) [23, 19, 51], WB: DASM(00004033)
