Instantiated DTM.
Cyc=        115 (0x80000174, 0x80000170, 0x8000016c, 0x80000178, 0x80000174) WB[ Z 00: 0x80000174]       ExeInst: DASM(fff70713)
Cyc=        116 (0x80000178, 0x80000174, 0x80000170, 0x8000016c, 0x80000178) WB[MZ 00: 0x00000000]   B   ExeInst: DASM(fe071ee3)
Cyc=        117 (0x8000016c, 0x80000178, 0x80000174, 0x80000170, 0x8000016c) WB[M  0e: 0x0000005d]       ExeInst: DASM(00004033)
Cyc=        118 (0x80000170, 0x8000016c, 0x80000178, 0x80000174, 0x80000170) WB[   1d: 0x00000059]       ExeInst: DASM(00004033)
Cyc=        119 (0x80000174, 0x80000170, 0x8000016c, 0x80000178, 0x80000174) WB[ Z 00: 0x80000174]       ExeInst: DASM(fff70713)
Cyc=        120 (0x80000178, 0x80000174, 0x80000170, 0x8000016c, 0x80000178) WB[MZ 00: 0x00000000]   B   ExeInst: DASM(fe071ee3)
Cyc=        121 (0x8000016c, 0x80000178, 0x80000174, 0x80000170, 0x8000016c) WB[M  0e: 0x0000005c]       ExeInst: DASM(00004033)
Cyc=        122 (0x80000170, 0x8000016c, 0x80000178, 0x80000174, 0x80000170) WB[   1d: 0x00000058]       ExeInst: DASM(00004033)
Cyc=        123 (0x80000174, 0x80000170, 0x8000016c, 0x80000178, 0x80000174) WB[ Z 00: 0x80000174]       ExeInst: DASM(fff70713)
Cyc=        124 (0x80000178, 0x80000174, 0x80000170, 0x8000016c, 0x80000178) WB[MZ 00: 0x00000000]   B   ExeInst: DASM(fe071ee3)
Cyc=        125 (0x8000016c, 0x80000178, 0x80000174, 0x80000170, 0x8000016c) WB[M  0e: 0x0000005b]       ExeInst: DASM(00004033)
Cyc=        126 (0x80000170, 0x8000016c, 0x80000178, 0x80000174, 0x80000170) WB[   1d: 0x00000057]       ExeInst: DASM(00004033)
Cyc=        127 (0x80000174, 0x80000170, 0x8000016c, 0x80000178, 0x80000174) WB[ Z 00: 0x80000174]       ExeInst: DASM(fff70713)
Cyc=        128 (0x80000178, 0x80000174, 0x80000170, 0x8000016c, 0x80000178) WB[MZ 00: 0x00000000]   B   ExeInst: DASM(fe071ee3)
Cyc=        129 (0x8000016c, 0x80000178, 0x80000174, 0x80000170, 0x8000016c) WB[M  0e: 0x0000005a]       ExeInst: DASM(00004033)
Cyc=        130 (0x80000170, 0x8000016c, 0x80000178, 0x80000174, 0x80000170) WB[   1d: 0x00000056]       ExeInst: DASM(00004033)
Cyc=        131 (0x80000174, 0x80000170, 0x8000016c, 0x80000178, 0x80000174) WB[ Z 00: 0x80000174]       ExeInst: DASM(fff70713)
Cyc=        132 (0x80000178, 0x80000174, 0x80000170, 0x8000016c, 0x80000178) WB[MZ 00: 0x00000000]   B   ExeInst: DASM(fe071ee3)
