Instantiated DTM.
Cyc=         79 (0x80001bdc, 0x80001bd8, 0x80001bd4, 0x80001bd0, 0x80001bcc) WB[   10: 0x80022170]       ExeInst: DASM(00020a93)
Cyc=         80 (0x80001be0, 0x80001bdc, 0x80001bd8, 0x80001bd4, 0x80001bd0) WB[ Z 04: 0x80022164]   B   ExeInst: DASM(f01ff0ef)
Cyc=         81 (0x80001ad8, 0x80001be0, 0x80001bdc, 0x80001bd8, 0x80001bd4) WB[MZ 15: 0x80002180]       ExeInst: DASM(00004033)
Cyc=         82 (0x80001adc, 0x80001ad8, 0x80001be0, 0x80001bdc, 0x80001bd8) WB[M  01: 0x80001bdc]       ExeInst: DASM(00004033)
Cyc=         83 (0x80001ae0, 0x80001adc, 0x80001ad8, 0x80001be0, 0x80001bdc) WB[ Z 00: 0x800021c4]       ExeInst: DASM(00c5e7b3)
Cyc=         84 (0x80001ae4, 0x80001ae0, 0x80001adc, 0x80001ad8, 0x80001be0) WB[MZ 00: 0x00000000]       ExeInst: DASM(00f567b3)
Cyc=         85 (0x80001ae8, 0x80001ae4, 0x80001ae0, 0x80001adc, 0x80001ad8) WB[MZ 0f: 0x80002180]       ExeInst: DASM(0037f793)
Cyc=         86 (0x80001aec, 0x80001ae8, 0x80001ae4, 0x80001ae0, 0x80001adc) WB[MZ 0f: 0x80002180]       ExeInst: DASM(00c506b3)
Cyc=         87 (0x80001af0, 0x80001aec, 0x80001ae8, 0x80001ae4, 0x80001ae0) WB[MZ 0f: 0x00000000]   B   ExeInst: DASM(02078463)
Cyc=         88 (0x80001b10, 0x80001af0, 0x80001aec, 0x80001ae8, 0x80001ae4) WB[M  0d: 0x80002180]       ExeInst: DASM(00004033)
Cyc=         89 (0x80001b14, 0x80001b10, 0x80001af0, 0x80001aec, 0x80001ae8) WB[   08: 0x00000028]       ExeInst: DASM(00004033)
Cyc=         90 (0x80001b18, 0x80001b14, 0x80001b10, 0x80001af0, 0x80001aec) WB[ Z 00: 0x80002180]   B   ExeInst: DASM(fed57ee3)
Cyc=         91 (0x80001b0c, 0x80001b18, 0x80001b14, 0x80001b10, 0x80001af0) WB[M  00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=         92 (0x80001b10, 0x80001b0c, 0x80001b18, 0x80001b14, 0x80001b10) WB[   1d: 0x8000217c]       ExeInst: DASM(00004033)
Cyc=         93 (0x80001b14, 0x80001b10, 0x80001b0c, 0x80001b18, 0x80001b14) WB[ Z 00: 0x80002180]   J   ExeInst: DASM(00008067)
Cyc=         94 (0x80001bdc, 0x80001b14, 0x80001b10, 0x80001b0c, 0x80001b18) WB[MZ 00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=         95 (0x80001be0, 0x80001bdc, 0x80001b14, 0x80001b10, 0x80001b0c) WB[M  00: 0x80001b10]       ExeInst: DASM(00004033)
Cyc=         96 (0x80001be4, 0x80001be0, 0x80001bdc, 0x80001b14, 0x80001b10) WB[ Z 00: 0x8000217c]       ExeInst: DASM(04420613)
Cyc=         97 (0x80001be8, 0x80001be4, 0x80001be0, 0x80001bdc, 0x80001b14) WB[MZ 00: 0x00000000]       ExeInst: DASM(40960633)
Cyc=         98 (0x80001bec, 0x80001be8, 0x80001be4, 0x80001be0, 0x80001bdc) WB[MZ 0c: 0x800021c4]       ExeInst: DASM(00000593)
Cyc=         99 (0x80001bf0, 0x80001bec, 0x80001be8, 0x80001be4, 0x80001be0) WB[MZ 0c: 0x00000044]       ExeInst: DASM(008a8533)
Cyc=        100 (0x80001bf4, 0x80001bf0, 0x80001bec, 0x80001be8, 0x80001be4) WB[MZ 0b: 0x00000000]   B   ExeInst: DASM(f49ff0ef)
Cyc=        101 (0x80001b34, 0x80001bf4, 0x80001bf0, 0x80001bec, 0x80001be8) WB[MZ 0a: 0x80002180]       ExeInst: DASM(00004033)
Cyc=        102 (0x80001b38, 0x80001b34, 0x80001bf4, 0x80001bf0, 0x80001bec) WB[M  01: 0x80001bf0]       ExeInst: DASM(00004033)
Cyc=        103 (0x80001b3c, 0x80001b38, 0x80001b34, 0x80001bf4, 0x80001bf0) WB[ Z 00: 0x00000001]       ExeInst: DASM(00c567b3)
Cyc=        104 (0x80001b40, 0x80001b3c, 0x80001b38, 0x80001b34, 0x80001bf4) WB[MZ 00: 0x00000000]       ExeInst: DASM(0037f793)
Cyc=        105 (0x80001b44, 0x80001b40, 0x80001b3c, 0x80001b38, 0x80001b34) WB[MZ 0f: 0x800021c4]       ExeInst: DASM(00c50633)
Cyc=        106 (0x80001b48, 0x80001b44, 0x80001b40, 0x80001b3c, 0x80001b38) WB[MZ 0f: 0x00000000]   B   ExeInst: DASM(02078063)
Cyc=        107 (0x80001b60, 0x80001b48, 0x80001b44, 0x80001b40, 0x80001b3c) WB[M  0c: 0x800021c4]       ExeInst: DASM(00004033)
Cyc=        108 (0x80001b64, 0x80001b60, 0x80001b48, 0x80001b44, 0x80001b40) WB[   00: 0x00000020]       ExeInst: DASM(00004033)
Cyc=        109 (0x80001b68, 0x80001b64, 0x80001b60, 0x80001b48, 0x80001b44) WB[ Z 00: 0x00000000]       ExeInst: DASM(0ff5f593)
Cyc=        110 (0x80001b6c, 0x80001b68, 0x80001b64, 0x80001b60, 0x80001b48) WB[MZ 00: 0x00000000]       ExeInst: DASM(00859713)
Cyc=        111 (0x80001b70, 0x80001b6c, 0x80001b68, 0x80001b64, 0x80001b60) WB[MZ 0b: 0x00000000]       ExeInst: DASM(00e5e733)
Cyc=        112 (0x80001b74, 0x80001b70, 0x80001b6c, 0x80001b68, 0x80001b64) WB[MZ 0e: 0x00000000]       ExeInst: DASM(01071793)
Cyc=        113 (0x80001b78, 0x80001b74, 0x80001b70, 0x80001b6c, 0x80001b68) WB[MZ 0e: 0x00000000]       ExeInst: DASM(00f76733)
Cyc=        114 (0x80001b7c, 0x80001b78, 0x80001b74, 0x80001b70, 0x80001b6c) WB[MZ 0f: 0x00000000]       ExeInst: DASM(fec574e3)
Cyc=        115 (0x80001b80, 0x80001b7c, 0x80001b78, 0x80001b74, 0x80001b70) WB[M  0e: 0x00000000]       ExeInst: DASM(00050793)
Cyc=        116 (0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b78, 0x80001b74) WB[ Z 09: 0x80002168]       ExeInst: DASM(00478793)
Cyc=        117 (0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b78) WB[MZ 0f: 0x80002180]       ExeInst: DASM(fee7ae23)
Cyc=        118 (0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c) WB[M  0f: 0x80002184]   B   ExeInst: DASM(fec7ece3)
Cyc=        119 (0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80) WB[   1c: 0x80002180]       ExeInst: DASM(00004033)
Cyc=        120 (0x80001b80, 0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84) WB[   19: 0x8000217c]       ExeInst: DASM(00004033)
Cyc=        121 (0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b8c, 0x80001b88) WB[ Z 00: 0x80001b8c]       ExeInst: DASM(00478793)
Cyc=        122 (0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b8c) WB[MZ 00: 0x00000000]       ExeInst: DASM(fee7ae23)
Cyc=        123 (0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c) WB[M  0f: 0x80002188]   B   ExeInst: DASM(fec7ece3)
Cyc=        124 (0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80) WB[   1c: 0x80002184]       ExeInst: DASM(00004033)
Cyc=        125 (0x80001b80, 0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84) WB[   19: 0x80002180]       ExeInst: DASM(00004033)
Cyc=        126 (0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b8c, 0x80001b88) WB[ Z 00: 0x80001b8c]       ExeInst: DASM(00478793)
Cyc=        127 (0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c, 0x80001b8c) WB[MZ 00: 0x00000000]       ExeInst: DASM(fee7ae23)
Cyc=        128 (0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80, 0x80001b7c) WB[M  0f: 0x8000218c]   B   ExeInst: DASM(fec7ece3)
Cyc=        129 (0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84, 0x80001b80) WB[   1c: 0x80002188]       ExeInst: DASM(00004033)
Cyc=        130 (0x80001b80, 0x80001b7c, 0x80001b8c, 0x80001b88, 0x80001b84) WB[   19: 0x80002184]       ExeInst: DASM(00004033)
